0	1	2	mean_p	var_p	n_snps	l2_diff	l2_diff_lower	diff_l2	diff_l2_lower
139	22	KIAA1644	8.835234017915479e-40	7.675708211868077e-20	788	20.887844030546987	13.970690853499626	77.51900025919323	54.81421075409429
140	11	OR56B1	1.0144515670758764e-59	4.681337776948952e-39	778	28.73965691248023	19.676764681611516	106.58921522254957	75.36995688522774
141	1	IPO9	3.1287668688652757e-55	8.407838843038134e-26	551	19.72587320879927	13.18580063325458	65.05278705536308	45.99926686194595
142	6	SUPT3H	6.447784065682056e-29	1.0811000977034492e-22	591	34.41817478383747	23.628094143767015	92.8347152672185	65.64405669498237
143	9	ASTN2	3.9624211426308273e-169	1.777087707654165e-92	1099	40.51195576805212	27.617073520773175	130.49961053990873	92.27715955498674
144	12	KSR2	8.124837300241363e-64	1.7977659263630057e-35	799	27.835005537642118	18.745232559258532	89.81509012681181	63.50885928156371
145	12	PLXNC1	3.980927441737665e-70	2.213835699712315e-26	693	20.384695294476245	13.618971762575903	75.55935577972296	53.42853285394386
146	5	ZNF354A	1.8097186470360038e-72	1.4885854315828792e-33	578	19.79597904494132	13.179383778993326	67.6331448812904	47.82385537854517
147	20	TBC1D20	3.644737567511008e-35	1.6368605472155952e-23	591	22.57747092493741	14.841299180946699	66.29583988161383	46.87823794475883
148	3	PHLDB2	1.0419003017705237e-51	1.1395313021732109e-11	607	23.209352786087493	15.855449215619274	91.8117469445764	64.92070885710326
149	6	ITPR3	7.961445053577047e-48	2.87270705139709e-43	649	26.350668756987005	18.063205315369302	102.01738179665287	72.13718246731982
150	5	LCP2	4.730697352072558e-68	6.869505862451749e-21	770	18.841643394388328	12.616307131319758	83.34179471903226	58.93154820209918
151	8	TNFRSF10D	1.61065375922558e-73	1.7448943310550854e-30	599	20.4584087578464	13.658026185059718	74.46931630441087	52.65775854918594
152	9	DMRT1	1.0167162422342847e-133	1.704834513076762e-78	957	44.54179085779873	30.16662328968627	119.24839028911484	84.3213454190247
153	7	CACNA2D1	4.3495628970354384e-89	2.330122358217092e-67	608	24.538031573349087	16.458385889462598	78.76467443982543	55.695035414364135
154	1	MATN1	3.3390209315355034e-60	1.0725179148932493e-24	545	22.257320764151203	15.004952682689094	70.07947052412322	49.55366882958261
155	12	SLCO1B1	5.221519135865805e-52	2.0755809738048856e-20	581	33.71827665855267	23.25420883358585	98.74715860102239	69.82478546969507
156	10	MKI67	4.139557706143269e-66	3.3682495133560607e-38	654	19.924741319793583	13.313354550538072	75.7105588019004	53.53544953626072
157	13	SLC15A1	1.202920791265621e-50	2.341031821623619e-30	646	26.02015167308808	17.65779800785819	85.7409042084417	60.62797479086684
158	12	PDE3A	8.666825756373771e-20	3.404085379601198e-08	625	22.53125314158487	15.351077067374604	78.34549273059251	55.39862918521633
159	9	COL27A1	1.4262213164954674e-64	1.544010608167262e-34	702	22.85656647917324	15.395704274789551	82.4317605164694	58.28805684635301
160	6	DDAH2	1.1000887265362661e-92	4.6012469015425876e-23	953	36.17353683665138	25.160669572990415	168.87063812714356	119.40957336301186
161	6	ABHD16A	1.2383068196269088e-92	2.2224294051387687e-23	951	36.64582156526336	25.503845390533257	171.93595668498588	121.57708090175912
